,Jak Pan/Pani ocenia wygodę jazdy pojazdami komunikacji zbiorowej?,Jak Pan/Pani ocenia punktualność komunikacji zbiorowej we Wrocławiu?,Jak ocenia Pan/Pani efekty dotychczasowych działań związanych z rozbudową systemu rowerowego we Wrocławiu (dróg i parkingów rowerowych)?,PIESZO Niekorzystne ustawienia sygnalizacji świetlnej,PIESZO Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką,PIESZO Zły stan nawierzchni chodników,PIESZO Zastawianie chodników przez parkujące samochody,PIESZO Niebezpieczne zachowania kierowców,PIESZO Zagrożenie ze strony rowerzystów poruszających się chodnikami,PIESZO Zbyt wysokie krawężniki,PIESZO Brak bieżącego utrzymania czystości/odśnieżania,PIESZO Niewystarczająca liczba przejść dla pieszych,"PIESZO Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)",PIESZO Uciążliwy ruch kołowy,PIESZO Niewłaściwe oświetlenie ciągów pieszych,Liczba osób w gospodarstwie domowym [ogółem],Liczba osób w gospodarstwie domowym [powyżej 6 roku życia],Liczba rowerów w gosp. dom.,Przedział wiekowy,Płeć,Kondycja fizyczna,Opieka nad innymi osobami,Posiadanie prawa jazdy kat. B,Posiadanie biletu okresowego,Posiadanie ulgi na przejazd komunikację zbiorową,ŹRÓDŁO Z jakiego miejsca,ŹRÓDŁO Nr rejonu,CEL Do jakiego miejsca,CEL Nr rejonu,Pora dnia (godzina),Motywacje (skąd-dokąd),Środek transportu grupa,Liczba aut w gosp. dom.,Przebyta odległość,age_sex_comb,CEL_dom,CEL_inne,CEL_praca,CEL_szkoła,CEL_uczelnia
1197,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.0,praca,228.0,dom,144.0,3,praca-dom,komunikacja samochodowa,1.0,15719.562278426138,45-65_M,1,0,0,0,0
1198,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,1,1,0,1,0,0.0,dom,144.0,inne,1.0,3,dom-Inne,rower,1.0,4058.0941807282047,45-60_K,0,1,0,0,0
1199,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,1,1,0,1,0,0.0,Inne,1.0,dom,144.0,4,Inne-dom,rower,1.0,4058.0941807282047,45-60_K,1,0,0,0,0
1202,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,3,1,1,0,1,0,0.0,dom,142.0,inne,143.0,3,dom-Inne,pieszo,1.0,882.2582881722152,25-44_K,0,1,0,0,0
1203,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,3,1,1,0,1,0,0.0,Inne,143.0,dom,142.0,3,Inne-dom,pieszo,1.0,882.2582881722152,25-44_K,1,0,0,0,0
1204,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,1,0,1,0,0,1,0.5,dom,142.0,szkoła,5.0,1,dom-szkoła,rower,1.0,3511.9054380073867,16-19_M,0,0,0,1,0
1205,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,1,0,1,0,0,1,0.5,szkoła,5.0,dom,142.0,2,szkoła-dom,rower,1.0,3511.9054380073867,16-19_M,1,0,0,0,0
1206,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,0,1,1,0,0,1,0.5,dom,142.0,inne,143.0,3,dom-Inne,pieszo,1.0,882.2582881722152,6-15_K,0,1,0,0,0
1207,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,0,1,1,0,0,1,0.5,Inne,143.0,dom,142.0,3,Inne-dom,pieszo,1.0,882.2582881722152,6-15_K,1,0,0,0,0
1208,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,0,1,0,1,0,0.0,dom,142.0,inne,1.0,2,dom-Inne,komunikacja samochodowa,1.0,3942.9109891976696,25-44_M,0,1,0,0,0
1209,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,1.0,3,0,1,0,1,0,0.0,Inne,1.0,dom,142.0,2,Inne-dom,komunikacja samochodowa,1.0,3942.9109891976696,25-44_M,1,0,0,0,0
1210,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,1.0,4,1,1,0,1,0,0.0,dom,142.0,inne,143.0,3,dom-Inne,pieszo,1.0,882.2582881722152,45-60_K,0,1,0,0,0
1211,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,1.0,4,1,1,0,1,0,0.0,Inne,143.0,dom,142.0,3,Inne-dom,pieszo,1.0,882.2582881722152,45-60_K,1,0,0,0,0
1212,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,0.0,5,1,0,0,0,0,1.0,dom,142.0,inne,29.0,1,dom-Inne,komunikacja samochodowa,1.0,4535.012367385335,61-x_K,0,1,0,0,0
1213,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,0.0,5,1,0,0,0,0,1.0,Inne,29.0,dom,142.0,2,Inne-dom,komunikacja samochodowa,1.0,4535.012367385335,61-x_K,1,0,0,0,0
1214,2,2,2,0,0,1,1,0,0,1,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,dom,142.0,inne,29.0,1,dom-Inne,komunikacja samochodowa,1.0,4535.012367385335,25-44_M,0,1,0,0,0
1215,2,2,2,0,0,1,1,0,0,1,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,Inne,29.0,dom,142.0,2,Inne-dom,komunikacja samochodowa,1.0,4535.012367385335,25-44_M,1,0,0,0,0
1216,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,0.0,4,1,1,0,1,0,0.0,dom,142.0,praca,143.0,1,dom-praca,pieszo,1.0,882.2582881722152,45-60_K,0,0,1,0,0
1217,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,0.0,4,1,1,0,1,0,0.0,praca,143.0,dom,142.0,3,praca-dom,pieszo,1.0,882.2582881722152,45-60_K,1,0,0,0,0
1218,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,4,0,1,0,1,0,0.0,dom,142.0,praca,93.0,1,dom-praca,komunikacja samochodowa,1.0,7451.362919271312,45-65_M,0,0,1,0,0
1219,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,4,0,1,0,1,0,0.0,praca,93.0,dom,142.0,3,praca-dom,komunikacja samochodowa,1.0,7451.362919271312,45-65_M,1,0,0,0,0
1221,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,1,0.0,dom,142.0,praca,1.0,1,dom-praca,komunikacja zbiorowa,1.0,3942.9109891976696,25-44_M,0,0,1,0,0
1222,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,1,0.0,praca,1.0,dom,142.0,3,praca-dom,komunikacja zbiorowa,1.0,3942.9109891976696,25-44_M,1,0,0,0,0
1223,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,1,0.0,praca,110.0,dom,142.0,3,praca-dom,komunikacja zbiorowa,1.0,8977.549760105705,25-44_M,1,0,0,0,0
1224,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,2,1,1,0,1,1,0.5,dom,142.0,uczelnia,16.0,1,dom-uczelnia,komunikacja zbiorowa,2.0,3453.0279326483683,20-24_K,0,0,0,0,1
1225,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,0,0,0.0,dom,142.0,praca,21.0,1,dom-praca,komunikacja zbiorowa,0.0,2627.554719622349,45-65_M,0,0,1,0,0
1226,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,0,0,0.0,praca,21.0,dom,142.0,3,praca-dom,komunikacja zbiorowa,0.0,2627.554719622349,45-65_M,1,0,0,0,0
1228,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,3,1,1,0,1,0,0.0,dom,142.0,inne,1.0,3,dom-Inne,komunikacja zbiorowa,2.0,3942.9109891976696,25-44_K,0,1,0,0,0
1229,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,3,1,1,0,1,0,0.0,Inne,1.0,dom,142.0,4,Inne-dom,komunikacja zbiorowa,2.0,3942.9109891976696,25-44_K,1,0,0,0,0
1232,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,2,1,1,0,1,1,0.5,uczelnia,16.0,dom,142.0,3,uczelnia-dom,komunikacja zbiorowa,2.0,3453.0279326483683,20-24_K,1,0,0,0,0
1233,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,2,1,1,0,1,1,0.5,uczelnia,2.0,dom,142.0,3,uczelnia-dom,komunikacja zbiorowa,2.0,4370.607199925701,20-24_K,1,0,0,0,0
1234,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,4,1,1,0,1,0,0.0,dom,142.0,inne,143.0,1,dom-Inne,rower,2.0,882.2582881722152,45-60_K,0,1,0,0,0
