,Jak Pan/Pani ocenia wygodę jazdy pojazdami komunikacji zbiorowej?,Jak Pan/Pani ocenia punktualność komunikacji zbiorowej we Wrocławiu?,Jak ocenia Pan/Pani efekty dotychczasowych działań związanych z rozbudową systemu rowerowego we Wrocławiu (dróg i parkingów rowerowych)?,PIESZO Niekorzystne ustawienia sygnalizacji świetlnej,PIESZO Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką,PIESZO Zły stan nawierzchni chodników,PIESZO Zastawianie chodników przez parkujące samochody,PIESZO Niebezpieczne zachowania kierowców,PIESZO Zagrożenie ze strony rowerzystów poruszających się chodnikami,PIESZO Zbyt wysokie krawężniki,PIESZO Brak bieżącego utrzymania czystości/odśnieżania,PIESZO Niewystarczająca liczba przejść dla pieszych,"PIESZO Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)",PIESZO Uciążliwy ruch kołowy,PIESZO Niewłaściwe oświetlenie ciągów pieszych,Liczba osób w gospodarstwie domowym [ogółem],Liczba osób w gospodarstwie domowym [powyżej 6 roku życia],Liczba rowerów w gosp. dom.,Przedział wiekowy,Płeć,Kondycja fizyczna,Opieka nad innymi osobami,Posiadanie prawa jazdy kat. B,Posiadanie biletu okresowego,Posiadanie ulgi na przejazd komunikację zbiorową,ŹRÓDŁO Z jakiego miejsca,ŹRÓDŁO Nr rejonu,CEL Do jakiego miejsca,CEL Nr rejonu,Pora dnia (godzina),Motywacje (skąd-dokąd),Środek transportu grupa,Liczba aut w gosp. dom.,Przebyta odległość,age_sex_comb,CEL_dom,CEL_inne,CEL_praca,CEL_szkoła,CEL_uczelnia
0,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,1.0,1.0,1.0,5,1,1,0,1,1,0.5,dom,67.0,inne,68.0,1,dom-Inne,komunikacja samochodowa,0.0,1223.21298579447,61-x_K,0,1,0,0,0
1,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,1.0,1.0,1.0,5,1,1,0,1,1,0.5,Inne,68.0,dom,67.0,1,Inne-dom,komunikacja samochodowa,0.0,1223.21298579447,61-x_K,1,0,0,0,0
5,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.5,dom,67.0,inne,68.0,1,dom-Inne,komunikacja samochodowa,1.0,1223.21298579447,45-65_M,0,1,0,0,0
6,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.5,Inne,68.0,dom,67.0,1,Inne-dom,komunikacja samochodowa,1.0,1223.21298579447,45-65_M,1,0,0,0,0
7,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,1,1,0,1,1,0.5,dom,67.0,inne,29.0,3,dom-Inne,komunikacja zbiorowa,0.0,2637.32375663861,25-44_K,0,1,0,0,0
8,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,3,1,1,0,1,1,0.5,Inne,29.0,dom,67.0,4,Inne-dom,komunikacja samochodowa,0.0,2637.32375663861,25-44_K,1,0,0,0,0
9,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,5,0,0,0,1,0,1.0,dom,67.0,uczelnia,28.0,3,dom-uczelnia,komunikacja zbiorowa,0.0,2124.9395574754935,66-x_M,0,0,0,0,1
10,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,5,0,0,0,1,0,1.0,uczelnia,28.0,dom,67.0,4,uczelnia-dom,komunikacja zbiorowa,0.0,2124.9395574754935,66-x_M,1,0,0,0,0
13,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,4,1,1,0,1,0,0.5,dom,53.0,inne,331.0,2,dom-Inne,pieszo,0.0,1960.0121350327695,45-60_K,0,1,0,0,0
14,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,4,1,1,0,1,0,0.5,Inne,331.0,dom,53.0,2,Inne-dom,pieszo,0.0,1960.0121350327695,45-60_K,1,0,0,0,0
15,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,dom,53.0,praca,273.0,1,dom-praca,komunikacja zbiorowa,2.0,8142.0644731608645,25-44_K,0,0,1,0,0
16,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,praca,273.0,dom,53.0,3,praca-dom,komunikacja zbiorowa,2.0,8142.0644731608645,25-44_K,1,0,0,0,0
17,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,3,0,1,0,1,0,0.0,dom,59.0,praca,126.0,1,dom-praca,komunikacja zbiorowa,0.0,2258.588783629474,25-44_M,0,0,1,0,0
18,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,3,0,1,0,1,0,0.0,praca,126.0,dom,59.0,3,praca-dom,komunikacja zbiorowa,0.0,2258.588783629474,25-44_M,1,0,0,0,0
19,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,2.0,3,1,1,0,1,0,0.0,dom,59.0,praca,1.0,1,dom-praca,rower,0.0,2607.90713989527,25-44_K,0,0,1,0,0
20,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,2.0,3,1,1,0,1,0,0.0,praca,1.0,dom,59.0,3,praca-dom,rower,0.0,2607.90713989527,25-44_K,1,0,0,0,0
21,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,dom,59.0,praca,59.0,1,dom-praca,pieszo,1.0,0.0,45-60_K,0,0,1,0,0
22,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,praca,59.0,dom,59.0,3,praca-dom,pieszo,1.0,0.0,45-60_K,1,0,0,0,0
23,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,dom,59.0,praca,61.0,1,dom-praca,pieszo,1.0,413.26821756916115,45-60_K,0,0,1,0,0
24,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,praca,61.0,dom,59.0,3,praca-dom,pieszo,1.0,413.26821756916115,45-60_K,1,0,0,0,0
25,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,1,0,0.5,dom,135.0,inne,265.0,1,dom-Inne,komunikacja zbiorowa,1.0,3999.8850862115223,61-x_K,0,1,0,0,0
26,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,1,0,0.5,Inne,265.0,dom,135.0,3,Inne-dom,komunikacja samochodowa,1.0,3999.8850862115223,61-x_K,1,0,0,0,0
27,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.0,dom,135.0,praca,104.0,1,dom-praca,komunikacja zbiorowa,1.0,7280.369511848175,45-65_M,0,0,1,0,0
28,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.0,praca,104.0,dom,135.0,3,praca-dom,komunikacja zbiorowa,1.0,7280.369511848175,45-65_M,1,0,0,0,0
29,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,dom,135.0,praca,73.0,1,dom-praca,komunikacja samochodowa,2.0,5416.555335693067,45-65_M,0,0,1,0,0
30,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,praca,73.0,dom,135.0,2,praca-dom,komunikacja samochodowa,2.0,5416.555335693067,45-65_M,1,0,0,0,0
31,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,dom,135.0,inne,154.0,2,dom-Inne,komunikacja samochodowa,2.0,6852.581766815773,45-65_M,0,1,0,0,0
32,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,Inne,154.0,praca,73.0,2,Inne-praca,komunikacja samochodowa,2.0,8950.315847625832,45-65_M,0,0,1,0,0
33,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,praca,73.0,inne,154.0,2,praca-Inne,komunikacja samochodowa,2.0,8950.315847625832,45-65_M,0,1,0,0,0
34,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,Inne,154.0,dom,135.0,3,Inne-dom,komunikacja samochodowa,2.0,6852.581766815773,45-65_M,1,0,0,0,0
35,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,dom,135.0,praca,73.0,3,dom-praca,komunikacja samochodowa,2.0,5416.555335693067,45-65_M,0,0,1,0,0
36,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,praca,73.0,dom,135.0,3,praca-dom,komunikacja samochodowa,2.0,5416.555335693067,45-65_M,1,0,0,0,0
37,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,0,0,0,1,0,1.0,dom,135.0,inne,154.0,2,dom-Inne,komunikacja samochodowa,2.0,6852.581766815773,66-x_M,0,1,0,0,0
38,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,0,0,0,1,0,1.0,Inne,154.0,dom,135.0,3,Inne-dom,komunikacja samochodowa,2.0,6852.581766815773,66-x_M,1,0,0,0,0
39,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,0,1.0,dom,135.0,inne,154.0,2,dom-Inne,komunikacja samochodowa,2.0,6852.581766815773,61-x_K,0,1,0,0,0
40,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,0,1.0,Inne,154.0,dom,135.0,3,Inne-dom,komunikacja samochodowa,2.0,6852.581766815773,61-x_K,1,0,0,0,0
41,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,dom,135.0,inne,135.0,2,dom-Inne,pieszo,0.0,0.0,61-x_K,0,1,0,0,0
42,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,Inne,135.0,dom,135.0,2,Inne-dom,pieszo,0.0,0.0,61-x_K,1,0,0,0,0
43,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,0,0,0,0,1.0,dom,135.0,inne,18.0,2,dom-Inne,komunikacja zbiorowa,0.0,4021.161857111625,61-x_K,0,1,0,0,0
44,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,0,0,0,0,1.0,Inne,18.0,dom,135.0,3,Inne-dom,komunikacja zbiorowa,0.0,4021.161857111625,61-x_K,1,0,0,0,0
46,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,0,1,0,1,0,1.0,Inne,67.0,dom,135.0,4,Inne-dom,komunikacja zbiorowa,0.0,2559.552275452079,66-x_M,1,0,0,0,0
47,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,3.0,4,0,1,0,1,0,1.0,dom,135.0,inne,3.0,2,dom-Inne,rower,1.0,4008.6918055485944,45-65_M,0,1,0,0,0
48,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,3.0,4,0,1,0,1,0,1.0,Inne,3.0,dom,135.0,2,Inne-dom,rower,1.0,4008.6918055485944,45-65_M,1,0,0,0,0
49,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,0,1,0,0,0,1.0,dom,135.0,praca,136.0,0,dom-praca,pieszo,0.0,806.168311811087,20-24_M,0,0,1,0,0
50,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,0,1,0,0,0,1.0,praca,136.0,dom,135.0,3,praca-dom,komunikacja zbiorowa,0.0,806.168311811087,20-24_M,1,0,0,0,0
51,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,0.0,3,0,1,1,1,1,0.0,dom,135.0,praca,364.0,1,dom-praca,komunikacja zbiorowa,0.0,3284.456055680221,25-44_M,0,0,1,0,0
52,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,0.0,3,0,1,1,1,1,0.0,praca,364.0,dom,135.0,3,praca-dom,komunikacja zbiorowa,0.0,3284.456055680221,25-44_M,1,0,0,0,0
53,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,1,0.0,dom,135.0,inne,134.0,1,dom-Inne,pieszo,0.0,483.6032596556176,25-44_K,0,1,0,0,0
54,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,1,0.0,Inne,134.0,inne,135.0,2,Inne-Inne,pieszo,0.0,483.6032596556176,25-44_K,0,1,0,0,0
55,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,1,0.0,Inne,135.0,dom,135.0,2,Inne-dom,pieszo,0.0,0.0,25-44_K,1,0,0,0,0
56,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5.0,5.0,2.0,4,1,1,0,0,1,0.0,dom,33.0,praca,29.0,1,dom-praca,komunikacja zbiorowa,0.0,1865.7802567836936,45-60_K,0,0,1,0,0
57,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5.0,5.0,2.0,4,1,1,0,0,1,0.0,praca,29.0,dom,33.0,4,praca-dom,komunikacja zbiorowa,0.0,1865.7802567836936,45-60_K,1,0,0,0,0
58,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,2.0,4,0,0,0,1,1,0.0,dom,33.0,praca,46.0,1,dom-praca,komunikacja zbiorowa,0.0,3839.8286977043263,45-65_M,0,0,1,0,0
59,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,2.0,4,0,0,0,1,1,0.0,praca,46.0,dom,33.0,3,praca-dom,komunikacja zbiorowa,0.0,3839.8286977043263,45-65_M,1,0,0,0,0
60,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,dom,33.0,inne,1.0,3,dom-Inne,rower,0.0,2593.928183789879,25-44_M,0,1,0,0,0
61,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,Inne,1.0,dom,33.0,4,Inne-dom,rower,0.0,2593.928183789879,25-44_M,1,0,0,0,0
62,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,dom,33.0,inne,4.0,2,dom-Inne,komunikacja samochodowa,0.0,2340.9735858337676,25-44_M,0,1,0,0,0
63,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,Inne,4.0,dom,33.0,2,Inne-dom,komunikacja zbiorowa,0.0,2340.9735858337676,25-44_M,1,0,0,0,0
67,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,3.0,4,1,0,0,0,0,0.0,dom,33.0,inne,4.0,2,dom-Inne,komunikacja samochodowa,0.0,2340.9735858337676,45-60_K,0,1,0,0,0
68,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,3.0,4,1,0,0,0,0,0.0,Inne,4.0,dom,33.0,2,Inne-dom,komunikacja zbiorowa,0.0,2340.9735858337676,45-60_K,1,0,0,0,0
69,3,4,2,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,3.0,2,1,0,0,0,0,0.5,dom,33.0,inne,63.0,3,dom-Inne,rower,0.0,4288.785116185605,20-24_K,0,1,0,0,0
70,3,4,2,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,3.0,2,1,0,0,0,0,0.5,Inne,63.0,dom,33.0,3,Inne-dom,rower,0.0,4288.785116185605,20-24_K,1,0,0,0,0
71,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,4.0,3,1,1,0,1,0,0.0,dom,33.0,praca,96.0,1,dom-praca,rower,1.0,1917.91546354198,25-44_K,0,0,1,0,0
72,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,4.0,3,1,1,0,1,0,0.0,praca,96.0,dom,33.0,3,praca-dom,rower,1.0,1917.91546354198,25-44_K,1,0,0,0,0
73,2,2,4,0,1,0,0,1,0,0,0,0,0,0,0,2.0,2.0,4.0,3,0,1,0,1,0,0.0,dom,33.0,praca,107.0,1,dom-praca,rower,1.0,2615.379661313897,25-44_M,0,0,1,0,0
74,2,2,4,0,1,0,0,1,0,0,0,0,0,0,0,2.0,2.0,4.0,3,0,1,0,1,0,0.0,praca,107.0,dom,33.0,3,praca-dom,rower,1.0,2615.379661313897,25-44_M,1,0,0,0,0
75,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,0,1,0,0.0,dom,38.0,praca,65.0,1,dom-praca,komunikacja samochodowa,2.0,3207.2716171216816,45-65_M,0,0,1,0,0
76,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,0,1,0,0.0,praca,65.0,dom,38.0,3,praca-dom,komunikacja samochodowa,2.0,3207.2716171216816,45-65_M,1,0,0,0,0
77,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,1,0,0.0,dom,38.0,praca,364.0,1,dom-praca,komunikacja samochodowa,2.0,2979.477498521281,25-44_K,0,0,1,0,0
78,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,1,0,0.0,praca,364.0,dom,38.0,3,praca-dom,komunikacja samochodowa,2.0,2979.477498521281,25-44_K,1,0,0,0,0
79,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,1.0,1,0,1,0,0,1,0.5,dom,38.0,inne,35.0,3,dom-Inne,pieszo,2.0,564.5368209391265,16-19_M,0,1,0,0,0
80,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,1.0,1,0,1,0,0,1,0.5,Inne,35.0,dom,38.0,3,Inne-dom,pieszo,2.0,564.5368209391265,16-19_M,1,0,0,0,0
81,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,4.0,4.0,3.0,4,1,1,0,0,0,0.0,dom,38.0,praca,37.0,1,dom-praca,pieszo,0.0,784.9597032868548,45-60_K,0,0,1,0,0
82,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,4.0,4.0,3.0,4,1,1,0,0,0,0.0,praca,37.0,dom,38.0,4,praca-dom,pieszo,0.0,784.9597032868548,45-60_K,1,0,0,0,0
83,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,4,0,1,0,1,1,0.5,dom,38.0,inne,38.0,1,dom-Inne,pieszo,0.0,0.0,45-65_M,0,1,0,0,0
84,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,4,0,1,0,1,1,0.5,Inne,38.0,dom,38.0,1,Inne-dom,pieszo,0.0,0.0,45-65_M,1,0,0,0,0
86,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,4.0,2,0,1,0,1,1,0.5,dom,62.0,uczelnia,30.0,2,dom-uczelnia,komunikacja zbiorowa,1.0,3572.3508029314366,20-24_M,0,0,0,0,1
87,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,4.0,2,0,1,0,1,1,0.5,uczelnia,30.0,dom,62.0,4,uczelnia-dom,komunikacja zbiorowa,1.0,3572.3508029314366,20-24_M,1,0,0,0,0
88,1,3,4,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,4.0,1,1,1,0,0,0,0.5,dom,62.0,szkoła,58.0,1,dom-szkoła,pieszo,1.0,718.6747916430553,16-19_K,0,0,0,1,0
89,1,3,4,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,4.0,1,1,1,0,0,0,0.5,szkoła,58.0,dom,62.0,3,szkoła-dom,pieszo,1.0,718.6747916430553,16-19_K,1,0,0,0,0
90,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,1.0,3,0,1,0,1,0,0.0,dom,61.0,praca,57.0,1,dom-praca,rower,0.0,1047.362409133385,25-44_M,0,0,1,0,0
91,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,1.0,3,0,1,0,1,0,0.0,praca,57.0,dom,61.0,4,praca-dom,rower,0.0,1047.362409133385,25-44_M,1,0,0,0,0
92,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,1,1,0,0.0,dom,61.0,praca,135.0,1,dom-praca,pieszo,0.0,1020.9114295174461,25-44_K,0,0,1,0,0
93,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,1,1,0,0.0,praca,135.0,dom,61.0,3,praca-dom,pieszo,0.0,1020.9114295174461,25-44_K,1,0,0,0,0
94,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,0,0,0.5,dom,61.0,szkoła,331.0,1,dom-szkoła,komunikacja samochodowa,0.0,2021.2901533761,25-44_K,0,0,0,1,0
95,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,0,0,0.5,szkoła,331.0,dom,61.0,2,szkoła-dom,komunikacja samochodowa,0.0,2021.2901533761,25-44_K,1,0,0,0,0
96,2,2,2,0,0,1,0,0,0,0,0,1,1,0,0,1.0,1.0,0.0,3,1,1,0,0,0,0.0,dom,61.0,praca,139.0,1,dom-praca,pieszo,0.0,1240.3943465233485,25-44_K,0,0,1,0,0
97,2,2,2,0,0,1,0,0,0,0,0,1,1,0,0,1.0,1.0,0.0,3,1,1,0,0,0,0.0,praca,139.0,dom,61.0,3,praca-dom,pieszo,0.0,1240.3943465233485,25-44_K,1,0,0,0,0
98,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,0,1,1,1,0,0.0,dom,62.0,praca,20.0,1,dom-praca,komunikacja samochodowa,3.0,1973.0565793213623,45-65_M,0,0,1,0,0
99,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,0,1,1,1,0,0.0,praca,20.0,dom,62.0,3,praca-dom,komunikacja samochodowa,3.0,1973.0565793213623,45-65_M,1,0,0,0,0
100,3,3,4,0,0,0,0,1,0,0,0,1,0,0,0,4.0,4.0,1.0,4,1,1,1,1,0,0.0,dom,62.0,praca,133.0,1,dom-praca,rower,3.0,1667.8455459799263,45-60_K,0,0,1,0,0
101,3,3,4,0,0,0,0,1,0,0,0,1,0,0,0,4.0,4.0,1.0,4,1,1,1,1,0,0.0,praca,133.0,dom,62.0,3,praca-dom,rower,3.0,1667.8455459799263,45-60_K,1,0,0,0,0
102,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,4.0,4.0,1.0,0,1,1,0,0,1,0.5,dom,62.0,szkoła,35.0,1,dom-szkoła,komunikacja samochodowa,3.0,3953.904379606062,6-15_K,0,0,0,1,0
103,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,4.0,4.0,1.0,0,1,1,0,0,1,0.5,szkoła,35.0,dom,62.0,3,szkoła-dom,komunikacja samochodowa,3.0,3953.904379606062,6-15_K,1,0,0,0,0
104,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,dom,61.0,inne,61.0,2,dom-Inne,pieszo,1.0,0.0,25-44_M,0,1,0,0,0
105,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,Inne,61.0,dom,61.0,2,Inne-dom,pieszo,1.0,0.0,25-44_M,1,0,0,0,0
106,4,4,2,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,0.0,3,1,1,0,0,0,0.0,dom,61.0,inne,144.0,2,dom-Inne,komunikacja samochodowa,1.0,2371.460152445642,25-44_K,0,1,0,0,0
107,4,4,2,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,0.0,3,1,1,0,0,0,0.0,Inne,144.0,dom,61.0,2,Inne-dom,komunikacja samochodowa,1.0,2371.460152445642,25-44_K,1,0,0,0,0
108,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,4.0,1,0,1,0,1,1,0.5,dom,48.0,szkoła,47.0,1,dom-szkoła,pieszo,1.0,355.8536333328569,16-19_M,0,0,0,1,0
109,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,4.0,1,0,1,0,1,1,0.5,szkoła,47.0,dom,48.0,3,szkoła-dom,pieszo,1.0,355.8536333328569,16-19_M,1,0,0,0,0
112,3,3,2,1,0,1,1,0,0,0,0,0,0,0,0,4.0,4.0,4.0,3,0,1,1,1,1,0.0,dom,48.0,praca,126.0,1,dom-praca,komunikacja zbiorowa,1.0,2586.638588198821,25-44_M,0,0,1,0,0
113,3,3,2,1,0,1,1,0,0,0,0,0,0,0,0,4.0,4.0,4.0,3,0,1,1,1,1,0.0,praca,126.0,dom,48.0,3,praca-dom,komunikacja zbiorowa,1.0,2586.638588198821,25-44_M,1,0,0,0,0
114,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,4.0,4.0,4.0,3,1,1,1,1,0,0.0,dom,48.0,szkoła,46.0,1,dom-szkoła,pieszo,1.0,759.7693348710436,25-44_K,0,0,0,1,0
115,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,4.0,4.0,4.0,3,1,1,1,1,0,0.0,szkoła,46.0,dom,48.0,2,szkoła-dom,pieszo,1.0,759.7693348710436,25-44_K,1,0,0,0,0
118,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,2.0,1,0,1,0,1,0,0.0,dom,121.0,inne,120.0,2,dom-Inne,komunikacja samochodowa,1.0,661.4302213544339,16-19_M,0,1,0,0,0
119,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,3.0,3.0,2.0,1,0,1,0,1,0,0.0,Inne,120.0,dom,121.0,2,Inne-dom,komunikacja samochodowa,1.0,661.4302213544339,16-19_M,1,0,0,0,0
120,3,4,2,0,0,0,0,1,0,1,0,0,0,1,0,3.0,3.0,1.0,5,1,0,0,0,0,0.5,dom,117.0,inne,366.0,2,dom-Inne,pieszo,0.0,292.7133567190616,61-x_K,0,1,0,0,0
121,3,4,2,0,0,0,0,1,0,1,0,0,0,1,0,3.0,3.0,1.0,5,1,0,0,0,0,0.5,Inne,366.0,dom,117.0,2,Inne-dom,pieszo,0.0,292.7133567190616,61-x_K,1,0,0,0,0
122,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,3.0,3.0,2.0,1,1,1,0,0,1,0.5,dom,117.0,szkoła,27.0,1,dom-szkoła,komunikacja zbiorowa,1.0,4396.219663514593,16-19_K,0,0,0,1,0
123,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,3.0,3.0,2.0,1,1,1,0,0,1,0.5,szkoła,27.0,dom,117.0,3,szkoła-dom,komunikacja zbiorowa,1.0,4396.219663514593,16-19_K,1,0,0,0,0
