,Unnamed: 0,travel_id,lat,long,time,mean_of_transport,geometry,building_id
1395,1395,60ab9424-d972-4d9a-874e-8ca24ba74c77,16.965529800000002,51.1303644,2019-11-08 10:15:00,Tramwaj,POINT (16.9655298 51.1303644),684
1471,1471,557e6a2a-d960-4a8a-bf0d-cfb274028088,16.9669188,51.126711900000004,2019-11-14 18:00:00,Samochód osobowy jako kierowca,POINT (16.9669188 51.1267119),754
1472,1472,557e6a2a-d960-4a8a-bf0d-cfb274028088,16.975819935748667,51.1266204,2019-11-14 18:05:00,Samochód osobowy jako kierowca,POINT (16.97581993574867 51.1266204),496
1519,1519,58f0ff73-0867-4667-b213-b09a6f01527e,16.9702013,51.129427299999996,2019-11-19 17:15:00,Pieszo,POINT (16.9702013 51.1294273),44
1520,1520,58f0ff73-0867-4667-b213-b09a6f01527e,16.957601800000003,51.126650500000004,2019-11-19 17:35:00,Pieszo,POINT (16.9576018 51.1266505),210
1521,1521,7eaf2ce8-f408-4a19-96cc-79697210bb69,16.9704755,51.1227904,2019-11-20 07:20:34,Rower prywatny,POINT (16.9704755 51.1227904),813
1539,1539,e703fd3e-bf38-4ba7-81d5-abbf92655f0e,16.9697476,51.126557700000006,2019-11-20 08:00:08,Rower prywatny,POINT (16.9697476 51.12655770000001),521
1548,1548,3a77bced-e53e-4d8e-a0bd-9c392eef485b,16.9707581,51.1219943,2019-11-20 13:15:00,Samochód osobowy jako kierowca,POINT (16.9707581 51.1219943),474
1567,1567,82e780e6-c0e9-49d3-bda0-39bf1334d6f2,16.960061,51.124065,2019-11-21 19:25:48,Samochód osobowy jako kierowca,POINT (16.960061 51.124065),435
1574,1574,784af5a8-d99d-4804-b743-166ef1af1eb9,16.971268600000002,51.1278905,2019-11-22 21:15:40,Tramwaj,POINT (16.9712686 51.1278905),513
1575,1575,b764e78b-fc1b-44d7-b216-ff85eaf7a05c,16.9686035,51.1220217,2019-11-19 19:00:00,Samochód osobowy jako kierowca,POINT (16.9686035 51.1220217),806
1585,1585,2f573830-ba23-4f2f-92b5-4aa98df16b9f,16.9630277,51.122910499999996,2019-11-21 17:00:00,Samochód osobowy jako kierowca,POINT (16.9630277 51.1229105),132
1586,1586,2f573830-ba23-4f2f-92b5-4aa98df16b9f,16.975819935748667,51.1266204,2019-11-21 17:05:00,Samochód osobowy jako kierowca,POINT (16.97581993574867 51.1266204),496
1593,1593,a6fb3c0b-cc0e-487d-85c0-d30e2f8e495b,16.971590399999997,51.126168,2019-11-20 17:35:00,Tramwaj,POINT (16.9715904 51.126168),395
1595,1595,43f42edf-b2b4-4c56-ab64-306f27e84bc4,16.9722857,51.127770500000004,2019-11-22 17:45:00,Samochód osobowy jako pasażer,POINT (16.9722857 51.1277705),637
1599,1599,d3b50903-c167-467d-a1d2-30b858599533,16.963867999999998,51.129033299999996,2019-11-21 10:15:00,Tramwaj,POINT (16.963868 51.1290333),498
1609,1609,cb9428a6-2be1-40c5-97e9-b255c814c2aa,16.9697476,51.126557700000006,2019-11-25 15:07:40,Rower prywatny,POINT (16.9697476 51.12655770000001),521
1610,1610,cb9428a6-2be1-40c5-97e9-b255c814c2aa,16.9591797,51.1268743,2019-11-25 15:10:40,Rower prywatny,POINT (16.9591797 51.1268743),38
1612,1612,701378eb-cf15-4d64-953e-ed50347a779f,16.9639509,51.126534899999996,2019-11-26 15:30:00,Tramwaj,POINT (16.9639509 51.1265349),185
1613,1613,96a6a10b-1c0e-4533-8060-08b6ad262062,16.9637222,51.1233266,2019-11-22 17:00:00,Pieszo,POINT (16.9637222 51.1233266),801
1614,1614,96a6a10b-1c0e-4533-8060-08b6ad262062,16.976004,51.1270346,2019-11-22 17:10:00,Pieszo,POINT (16.976004 51.1270346),496
1623,1623,d32b1d68-020e-46c2-af99-634d7005dbf9,16.968336899999997,51.1220226,2019-11-27 14:00:29,Rower prywatny,POINT (16.9683369 51.1220226),806
1627,1627,e87a034c-8e63-4537-8d4e-96c7f5e2f79b,16.9638253,51.1264047,2019-10-27 16:20:00,Tramwaj,POINT (16.9638253 51.1264047),414
1630,1630,8f166573-bd0b-4075-b5e4-c5be8061cba8,16.9577253,51.1265541,2019-10-08 15:26:00,Samochód osobowy jako kierowca,POINT (16.9577253 51.1265541),210
1653,1653,df273c2c-3622-45aa-ba10-bd46ba2434f4,16.9639509,51.126534899999996,2019-10-25 16:15:00,Komunikacja autobusowa,POINT (16.9639509 51.1265349),185
1664,1664,a0705ee4-13a2-41f3-8cef-7ec4b7497c4b,16.9612924,51.1245834,2019-10-24 20:35:00,Samochód osobowy jako kierowca,POINT (16.9612924 51.1245834),306
1677,1677,023db10d-411b-41b6-8bb7-4a5a2da3771c,16.9613478,51.122952000000005,2019-10-21 16:00:00,Samochód osobowy jako kierowca,POINT (16.9613478 51.12295200000001),302
1690,1690,757babc2-e868-41d5-bfd2-6c8a951b11dd,16.9697476,51.126557700000006,2019-10-24 15:30:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
1694,1694,d9e801bd-f29c-453e-ac7e-040d8a611b36,16.9613478,51.122952000000005,2019-10-25 15:00:00,Samochód osobowy jako kierowca,POINT (16.9613478 51.12295200000001),302
1715,1715,ff32f6dc-877b-4e8e-921f-e06019e11763,16.9702013,51.129427299999996,2019-10-29 20:10:00,Pieszo,POINT (16.9702013 51.1294273),44
1728,1728,efb284d6-ac5a-4db0-b84f-c2cb5bb396c4,16.966649,51.1263937,2019-10-28 17:50:00,Tramwaj,POINT (16.966649 51.1263937),746
1734,1734,44bd41ba-ec3d-4ab7-a5a3-bcf7da483a57,16.9588172,51.1265201,2019-10-03 15:15:00,Rower prywatny,POINT (16.9588172 51.1265201),178
1743,1743,c405f64b-4f09-4800-8691-e3d8dd13cad6,16.9697476,51.126557700000006,2019-11-06 16:20:22,Pieszo,POINT (16.9697476 51.12655770000001),521
1748,1748,808e1453-fbfc-4cfa-920f-954964935650,16.969083899999998,51.1285278,2019-11-06 15:30:00,Tramwaj,POINT (16.9690839 51.1285278),570
1754,1754,3774e1b2-4179-4f66-8e98-3005354d9815,16.960061,51.124065,2019-11-06 19:37:00,Komunikacja autobusowa,POINT (16.960061 51.124065),435
1755,1755,f183bae5-f494-40e9-a21a-52afca72ba48,16.9733414,51.1257135,2019-11-08 15:30:00,Pieszo,POINT (16.9733414 51.1257135),26
1756,1756,f183bae5-f494-40e9-a21a-52afca72ba48,16.9676523,51.122747,2019-11-08 15:50:00,Pieszo,POINT (16.9676523 51.122747),806
1766,1766,f2c8d5cb-ed4c-41ed-bad6-75eed50f0a30,16.9679435,51.12879470000001,2019-11-10 16:38:46,Tramwaj,POINT (16.9679435 51.12879470000001),617
1817,1817,54fa8fb9-5264-43e7-8f60-7f6a690d8b80,16.975819935748667,51.1266204,2019-11-14 19:00:00,Samochód osobowy jako kierowca,POINT (16.97581993574867 51.1266204),496
1818,1818,54fa8fb9-5264-43e7-8f60-7f6a690d8b80,16.9669188,51.126711900000004,2019-11-14 19:05:00,Samochód osobowy jako kierowca,POINT (16.9669188 51.1267119),754
1854,1854,aff427b3-90d6-4b3a-b49a-385eed71f8da,16.9704755,51.1227904,2019-11-20 14:30:34,Rower prywatny,POINT (16.9704755 51.1227904),813
1869,1869,99f52c74-0421-4541-9219-1107adc4dbdb,16.9707581,51.1219943,2019-11-20 15:00:00,Pieszo,POINT (16.9707581 51.1219943),474
