destination_region,dom,inne,praca,szkoła,uczelnia
134.0,9.0,3.0,0.0,0.0,0.0
135.0,23.0,17.0,10.0,3.0,0.0
136.0,3.0,6.0,8.0,2.0,0.0
137.0,34.0,2.0,3.0,3.0,0.0
138.0,25.0,4.0,5.0,0.0,0.0
139.0,31.0,9.0,7.0,0.0,0.0
140.0,5.0,33.0,11.0,0.0,3.0
141.0,46.0,3.0,3.0,4.0,0.0
142.0,48.0,8.0,3.0,0.0,1.0
143.0,64.0,26.0,7.0,7.0,0.0
144.0,34.0,23.0,2.0,1.0,0.0
145.0,2.0,6.0,0.0,0.0,0.0
146.0,9.0,0.0,13.0,0.0,0.0
147.0,14.0,3.0,1.0,0.0,0.0
148.0,37.0,8.0,2.0,6.0,0.0
149.0,30.0,9.0,4.0,0.0,0.0
150.0,53.0,18.0,5.0,9.0,0.0
151.0,15.0,2.0,5.0,1.0,0.0
152.0,0.0,3.0,5.0,0.0,0.0
153.0,39.0,5.0,1.0,9.0,0.0
154.0,42.0,14.0,6.0,6.0,0.0
155.0,4.0,7.0,4.0,0.0,0.0
156.0,1.0,14.0,4.0,0.0,0.0
157.0,0.0,4.0,2.0,0.0,0.0
158.0,9.0,39.0,21.0,6.0,1.0
159.0,0.0,2.0,2.0,0.0,0.0
160.0,12.0,3.0,2.0,6.0,0.0
161.0,3.0,2.0,9.0,1.0,0.0
162.0,5.0,0.0,0.0,0.0,0.0
163.0,72.0,23.0,5.0,27.0,0.0
164.0,56.0,18.0,6.0,5.0,0.0
165.0,40.0,12.0,2.0,0.0,0.0
166.0,0.0,4.0,16.0,0.0,0.0
167.0,1.0,0.0,0.0,0.0,0.0
168.0,31.0,10.0,1.0,2.0,0.0
169.0,52.0,11.0,8.0,0.0,0.0
170.0,0.0,1.0,0.0,0.0,0.0
171.0,16.0,18.0,10.0,0.0,0.0
172.0,2.0,3.0,1.0,0.0,0.0
173.0,4.0,5.0,3.0,0.0,0.0
174.0,2.0,4.0,2.0,5.0,0.0
175.0,13.0,1.0,4.0,0.0,0.0
177.0,0.0,0.0,1.0,0.0,0.0
178.0,12.0,0.0,1.0,0.0,0.0
179.0,11.0,3.0,1.0,3.0,0.0
180.0,22.0,2.0,7.0,1.0,0.0
181.0,1.0,0.0,0.0,0.0,0.0
182.0,0.0,5.0,2.0,0.0,0.0
183.0,0.0,1.0,8.0,0.0,0.0
184.0,4.0,1.0,0.0,3.0,0.0
185.0,3.0,3.0,5.0,0.0,0.0
186.0,0.0,3.0,0.0,0.0,0.0
187.0,0.0,1.0,1.0,0.0,0.0
189.0,0.0,3.0,2.0,0.0,0.0
190.0,1.0,0.0,1.0,0.0,0.0
192.0,10.0,2.0,6.0,0.0,0.0
193.0,10.0,1.0,2.0,0.0,0.0
194.0,11.0,5.0,3.0,3.0,0.0
195.0,9.0,7.0,2.0,2.0,0.0
196.0,15.0,3.0,2.0,0.0,0.0
197.0,0.0,3.0,3.0,0.0,0.0
198.0,4.0,2.0,0.0,7.0,0.0
199.0,27.0,3.0,6.0,0.0,0.0
200.0,11.0,2.0,1.0,0.0,0.0
201.0,1.0,0.0,0.0,0.0,0.0
202.0,11.0,0.0,1.0,0.0,0.0
203.0,3.0,0.0,0.0,0.0,0.0
204.0,4.0,6.0,2.0,0.0,0.0
205.0,13.0,3.0,1.0,1.0,0.0
206.0,1.0,0.0,3.0,0.0,0.0
207.0,8.0,0.0,0.0,2.0,0.0
208.0,8.0,1.0,1.0,0.0,0.0
211.0,4.0,0.0,0.0,0.0,0.0
212.0,5.0,1.0,0.0,0.0,0.0
213.0,1.0,3.0,0.0,0.0,0.0
214.0,1.0,0.0,0.0,0.0,0.0
215.0,0.0,3.0,6.0,0.0,0.0
216.0,6.0,5.0,2.0,0.0,0.0
217.0,31.0,3.0,1.0,4.0,0.0
218.0,16.0,1.0,2.0,6.0,0.0
219.0,25.0,3.0,0.0,0.0,0.0
220.0,9.0,1.0,5.0,0.0,0.0
221.0,20.0,6.0,2.0,2.0,0.0
222.0,19.0,7.0,3.0,0.0,0.0
223.0,2.0,0.0,1.0,0.0,0.0
225.0,2.0,1.0,0.0,0.0,0.0
226.0,8.0,0.0,1.0,0.0,0.0
227.0,2.0,1.0,0.0,0.0,0.0
228.0,30.0,3.0,5.0,10.0,0.0
229.0,22.0,2.0,3.0,0.0,0.0
