,Regions,Regions_agr,Region_name,Objects_offices,Objects_shops,Objects_apartments,Objects_industry,Objects_schools,Objects_universitites,Poluation_UM,Population_6plus_UM,Population_BD,Population_AUT,Population_MET1,Population_MET2,Jobs_GUS,Jobs_AUT,Jobs_MET3,Jobs_MET4
35,36,36,Jedności Narodowej,0,2144,360167,613,687,0,7270,6890,6334,7113,2592,1278,1776,1531,1792,696
36,37,A48,Wzgórze Słowiańskie,21473,2444,48144,139,0,0,516,467,661,682,252,60,283,295,287,17
37,38,38,Na Szańcach,12864,1575,211815,221,798,920,3958,3766,2149,3888,974,748,1617,878,870,609
38,39,39,Dworzec Nadodrze,297,3469,297764,141,1063,0,7101,6770,4959,6989,2001,1244,1657,1714,1835,478
39,40,40,Pomorska,12891,2505,173732,171,901,0,4093,3887,4158,4292,1948,1374,1869,1592,1696,843
40,41,A12,Ks. Witolda,8676,11377,40549,137,0,0,443,421,348,434,156,130,548,374,339,78
41,42,A12,Kępa Mieszczańska,11606,7805,17414,17601,0,0,457,407,1261,1301,469,426,592,1078,1139,330
42,43,A49,Elektrociepłownia,39924,964,545,77679,0,0,17,16,487,16,165,78,1234,226,278,52
43,44,44,Długa (ZDiUM/Tesco),8014,30926,0,20375,0,0,0,0,730,0,269,191,985,556,548,191
44,45,A49,Starogroblowa,760,2277,558,524,0,181,14,12,861,12,339,365,51,574,643,382
45,46,46,Poznańska,429,1811,71565,102,1163,0,2140,2044,2349,2425,1104,852,1205,1070,1183,426
46,47,47,Zachodnia,8800,4912,198190,60,1268,526,4611,4421,5168,5335,2375,1635,5453,2009,2366,704
47,48,48,Szczepin,9764,6786,187597,35,583,0,3715,3535,1818,3649,739,165,1992,852,1148,217
48,49,A17,Braniborska,12763,49080,45394,764,708,109,997,968,2357,2433,948,948,1685,2383,2262,991
49,50,50,Bolesławiecka,14230,27618,167799,68,49,0,4032,3831,2453,3955,1044,1131,2049,1365,1618,965
50,51,A49,Robotnicza,5360,12461,3167,227,0,0,160,153,391,157,147,113,602,356,339,17
51,52,A49,Góralska,26260,36160,4067,70392,0,0,148,142,861,146,426,321,2588,1722,1670,417
52,53,53,Stalowa/Fadroma,7242,9898,109651,25250,0,0,2311,2104,4367,2172,1870,1052,904,1270,1600,461
53,54,54,Oporowska,4076,4012,360515,2917,79,0,9158,8680,4715,8961,2070,1226,3696,1757,2018,765
54,55,55,Zaporoska,1000,4104,213457,14001,515,0,5229,5009,3915,5171,1540,739,1561,1487,1696,574
55,56,56,Mielecka,0,4443,105481,168,138,0,2590,2467,1296,2547,504,287,630,582,669,165
56,57,57,Gajowicka,0,2537,186107,169,549,0,4648,4391,2905,4533,1235,617,1444,1139,1200,400
57,58,58,Pretficza,12784,7158,91189,60,1045,0,2207,2111,4150,2179,1922,1235,5062,2636,2879,809
58,59,59,Pl. Powstańców Śl.,49690,577,149680,126,0,462,2285,2184,4593,2254,1714,1661,1688,2488,2827,1052
59,60,60,Sky Tower,66619,61172,105175,112,0,0,1787,1714,1957,2020,878,487,10632,2357,2836,504
60,61,61,Wiśniowa,6703,4720,148895,375,420,0,3274,3113,2166,3213,896,991,1388,948,1183,896
61,62,62,Wielka,4649,4438,194676,43,666,0,3411,3296,313,3402,130,60,1197,95,208,17
62,63,63,Wzg. Andersa/Aquapark,74,11712,0,0,0,0,0,0,43,0,17,52,115,17,17,43
63,64,A53,Park Andersa,2655,5495,1879,1183,907,0,76,76,1835,78,878,861,473,913,1026,826
64,65,65,Glinianki,19,1419,470002,345,1023,0,11407,10864,11893,12278,4941,2975,2104,3401,4498,1357
65,66,66,Śliczna,658,5174,279808,51,1260,0,6450,6147,4010,6346,1452,487,3092,1305,1592,295
66,67,67,Hubska,35611,1462,113805,187,1505,1386,2049,1951,2801,2014,1122,1096,6718,1479,2122,1052
67,68,68,Bardzka,8456,62810,101997,4350,0,0,2330,2169,1287,2239,417,226,1723,478,495,139
68,69,69,Nyska,16432,5884,83654,6674,0,0,1163,1017,3280,1049,1522,1244,1836,1365,1444,765
69,70,A48,Krakowska,25325,72289,9784,87187,280,401,193,182,1479,187,478,582,2827,1000,1000,678
70,71,A23,Na Grobli,17263,3029,913,37766,0,1254,24,24,861,24,278,234,580,669,722,348
71,72,A23,Rakowiec,4043,811,41046,644,0,0,639,584,1392,602,461,408,579,539,548,435
72,73,A6,Hala Stulecia/Zoo,29929,2158,722,15,0,0,11,9,678,9,278,382,293,983,1157,469
73,74,A1,Wittiga,3443,623,68132,36,0,0,786,694,0,2186,0,0,313,0,0,0
74,75,A1,Tramwajowa,1222,3655,30534,2054,0,157,468,448,0,462,0,0,258,0,0,0
75,76,A6,Park Szczytnicki,221,11464,6682,621,0,182,61,60,1357,61,374,313,264,617,461,234
76,77,A6,Parkowa,6598,2546,44181,38,1092,1086,560,530,417,547,156,261,1027,391,426,243
77,78,A5,Zacisze,10859,11133,124752,4666,0,0,1850,1749,1365,1805,374,243,1191,556,321,261
78,79,A6,Zalesie,697,1401,103762,286,421,0,1341,1284,1583,1634,469,252,594,522,426,147
79,80,A58,Stadion Olimpijski,2096,4098,7691,624,0,2610,222,222,3958,4086,1740,1600,908,2009,1661,1122
80,81,81,Sępolno,1148,3283,137197,27,0,0,2852,2690,2044,2777,669,382,625,826,748,243
81,82,A1,Kazimierska,444,1254,37122,204,369,0,759,713,1191,736,374,147,215,400,522,69
82,83,83,Spółdzielcza,0,643,138050,295,455,0,2850,2711,0,2798,0,0,1002,0,0,0
83,84,84,Bartoszowice,9168,4990,94005,8741,0,0,1539,1434,1748,1804,739,478,1021,374,208,208
84,85,85,Biskupin,1777,705,167479,185,0,0,2772,2630,3401,2715,957,321,706,896,991,234
85,86,A1,UPrzyrodn.,77,77,21074,106,197,1424,286,279,0,288,0,0,370,0,0,0
86,87,A1,Chełmońskiego,3067,2593,44655,80,0,344,641,614,0,633,0,0,329,0,0,0
87,88,A49,Port Miejski,4576,1091,469,3920,0,0,14,13,600,13,243,417,250,487,278,278
88,89,89,Kleczków,17594,1932,59433,291,0,0,1551,1490,896,1538,382,269,1653,591,435,165
89,90,A48,Leclerc/ZNTK,23894,2982,23120,2451,0,0,667,584,5020,5182,991,652,2249,2827,2331,591
90,91,A8,Kromera,17944,23266,122366,7969,0,0,1833,1666,591,1720,391,313,1799,391,495,200
91,92,A8,Brucknera,0,7535,21858,157,1244,0,368,354,1505,365,661,478,533,443,234,304
92,93,93,Długosza/Grudziądzka,20547,18701,119976,42956,0,0,2560,2362,6464,2438,2549,2523,1756,3306,2940,1870
93,94,94,Pl. Piłsudskiego,4187,1338,136167,1305,500,0,2223,2091,0,2158,0,0,1510,0,0,0
94,95,95,Przybyszewskiego UWr,3377,5645,140391,833,390,1458,3943,3696,1357,3815,582,626,1020,774,991,600
95,96,A26,Koszarowa,11761,3063,13158,1416,0,2502,319,307,0,316,0,0,1484,0,0,0
96,97,97,WSO Czajkowskiego,0,0,1,0,0,1086,0,0,1009,0,208,139,487,626,548,200
97,98,98,Karłowice,2970,924,156844,928,0,45,2520,2381,0,2458,0,0,944,0,0,0
98,99,99,Pola,0,879,108816,859,0,0,2027,1910,2044,2110,861,652,606,756,522,487
99,100,100,Różanka,472,11669,273122,255,1525,0,6541,6250,1244,6452,669,696,1523,208,147,261
100,101,101,Łużycka,10,1877,93837,102,0,0,1474,1407,635,1452,252,156,496,339,208,147
101,102,A49,Cm. Osobowicki,449,1070,838,39,0,0,22,21,904,21,208,52,38,226,365,69
102,103,103,Bezpieczna/Parnickiego,2554,21208,181838,584,492,0,4938,4700,8439,8712,3488,2818,1351,3149,2540,1861
103,104,A49,WSO Obornicka,9368,7171,9920,2018,0,0,31,28,2053,28,843,626,962,2296,1931,635
104,105,105,Wołowska,25024,7185,103595,21640,48,0,2698,2518,1748,2599,582,339,1959,957,809,295
105,106,A49,Wrozamet,15406,5229,6825,84291,548,0,163,154,4454,158,1922,1722,1156,2853,1896,1244
106,107,107,Kamieńskiego,1024,91,71611,1290,0,0,1945,1821,261,1880,130,200,5179,182,104,147
107,108,A24,Milicka,417,4606,56708,4917,0,0,763,720,478,743,113,69,583,243,113,113
108,109,A25,Poświętne,1906,375,44431,1120,0,0,935,842,0,869,0,0,517,0,0,0
109,110,110,Paprotna,9854,75790,0,10127,0,0,0,0,78,0,17,130,1219,356,208,156
110,111,111,Ślazowa,35,35,0,11,0,0,0,0,191,0,17,147,22,174,121,121
111,112,A46,Lipska,325,916,73499,75,0,0,1503,1323,1017,1365,191,182,335,426,269,226
112,113,A46,Osobowicka,2869,470,54692,5402,125,0,1222,1113,1113,1149,382,556,659,426,435,478
113,114,114,Hala Orbita,0,3602,0,1266,0,0,0,0,339,0,139,469,1,243,208,513
114,115,A49,Port Popowice,3057,756,7090,6480,0,0,268,258,1940,266,756,643,54,669,609,417
115,116,116,Wejherowska,205,6548,135280,340,1175,71,4092,3898,1331,4024,339,139,1580,461,652,147
116,117,117,Popowice,19892,2702,152124,397,0,0,2495,2329,2270,2404,756,1165,1390,1705,1618,948
117,118,A49,Przedmiejska,3108,4192,471,155,0,0,11,10,600,619,217,174,193,278,565,78
118,119,A49,Wzgórze Mikołajskie,49114,8442,33076,4414,0,272,670,602,878,906,261,313,5868,1183,1383,400
119,120,A49,CH Magnolia,11317,169700,2329,12527,0,0,57,53,1174,54,635,348,814,1296,1861,400
120,121,121,Kwiska,7983,15380,110416,70,0,0,2949,2793,1531,2883,678,626,1007,991,1026,478
121,122,A49,Bystrzycka,3689,11049,26845,13895,0,0,567,526,2244,543,1139,765,629,1017,1270,635
122,123,123,DSW/WSB,37260,377,0,3432,0,1139,0,0,182,0,60,339,1642,1218,1278,408
123,124,124,Wrocławski park Przemysłowy,27660,5358,0,277132,108,0,0,0,2192,0,765,870,3234,3541,3036,800
124,125,A51,Otyńska,43739,31518,5865,3222,0,0,139,134,261,138,226,130,1487,756,809,121
125,126,A51,Hutmen/FAT,29067,26491,132,115455,0,0,15,14,3167,14,1131,1592,2548,2444,1774,1278
126,127,127,Inżynierska,4253,1695,79002,440,0,0,1220,1140,0,1176,0,0,946,0,0,0
127,128,128,Pl. Bzowy,450,163,88071,209,179,0,2091,1974,0,2038,0,0,542,0,0,0
128,129,129,Al. Pracy,5716,1710,136419,172,858,0,2941,2775,3219,3323,1148,687,1016,1496,1531,478
129,130,130,Ostrowskiego,53695,7851,74475,32201,0,634,2169,2066,287,2133,191,200,6311,356,278,252
130,131,131,Grabiszynek,398,1494,161768,76,0,0,2597,2440,809,2519,139,43,1517,330,408,78
131,132,132,Blacharska,127,596,181124,213,318,0,2707,2440,4576,4724,1757,1131,913,1435,1113,756
132,133,133,CH Borek,0,33849,0,0,0,0,0,0,1000,0,356,417,72,443,243,234
133,134,134,Pl. M. Anielewicza,1229,1574,79021,31,0,0,1299,1222,0,1261,0,0,425,0,0,0
134,135,135,Borek,16241,5207,193863,500,650,0,3827,3671,4254,4391,1853,1513,2386,1722,1827,974
135,136,A40,Park Południowy,25574,8529,2362,315,768,0,35,35,1383,36,530,835,588,835,765,652
136,137,137,Januszowicka,12887,632,114773,93,339,0,2229,2115,1113,2183,478,287,1347,522,548,147
137,138,138,Sudecka,7873,4164,173309,262,244,0,2938,2799,1139,2889,495,382,2516,617,609,408
138,139,139,Weigla Szpital,38902,4604,126294,3278,0,0,2514,2374,6734,2451,2253,1940,17646,3532,3219,1452
139,140,A53,Akademia Medyczna,5104,220,11458,601,0,2172,288,277,4846,285,2062,1861,4126,3636,2488,1322
140,141,141,Jabłeczna,7803,6649,186314,3303,0,0,5168,4894,4150,5052,1096,487,1146,1183,1644,304
141,142,142,Długopolska,5653,1810,242320,231,0,0,3931,3563,1627,3678,530,382,1482,400,435,261
142,143,143,Gaj,5169,4146,278401,164,890,0,7131,6772,7369,7608,3123,2227,1739,2671,2879,1139
143,144,144,Ferio Gaj,374,19777,208543,197,0,0,3691,3266,6177,3371,2523,1679,1493,1339,1235,548
144,145,A45,Bardzka Cmentarz,0,11,1124,0,0,0,16,15,1061,15,417,522,687,287,234,443
145,146,A45,Tarnogaj,33782,12295,54958,13421,0,0,837,684,4419,706,1757,1244,1971,2079,1809,643
146,147,147,Celtycka,0,534,112078,53,0,0,1433,1352,1313,1395,452,200,379,287,330,113
147,148,148,Kolista/Modra,24,2425,153640,368,467,0,2912,2750,3880,4005,626,269,825,1070,426,217
148,149,149,Kozanów Stary,11081,906,228895,69,0,0,5025,4806,1365,4961,548,234,876,487,287,174
149,150,150,Kozanów Nowy,544,3128,266465,244,513,0,6719,6389,3401,6596,887,374,1579,930,1035,226
150,151,A30,Dworska,167,580,78437,105,24,0,1883,1724,635,1779,278,269,591,330,226,147
151,152,A30,Stadion,168,168,645,6,0,0,16,14,165,14,87,60,133,147,165,69
152,153,153,Pilczyce,4871,4387,99246,331,262,0,2735,2573,1174,2656,469,200,1124,461,495,113
153,154,154,Hutnicza,1184,1407,98177,201,558,0,2923,2799,2531,2889,548,130,4516,687,539,113
154,155,A51,Metalowców,15950,1461,5453,73678,0,0,145,131,6351,135,4332,3332,2594,2462,2053,1566
155,156,156,Bajana,492,27412,342630,463,0,0,6614,6120,2505,6318,904,452,1731,669,817,217
156,157,157,Os. Kosmonautów,279,2936,310237,306,0,0,6148,5734,6542,6754,2331,1017,1021,1540,1444,408
157,158,158,Astra,431,43489,239538,453,774,0,4307,4070,5098,4202,1627,1165,6230,1809,2671,783
158,159,159,Hermanowska,1152,709,54579,5896,0,0,1059,995,1157,1194,348,191,325,348,321,139
