,Regions,Regions_agr,Region_name,Objects_offices,Objects_shops,Objects_apartments,Objects_industry,Objects_schools,Objects_universitites,Poluation_UM,Population_6plus_UM,Population_BD,Population_AUT,Population_MET1,Population_MET2,Jobs_GUS,Jobs_AUT,Jobs_MET3,Jobs_MET4
218,219,219,Stabłowice Działki,267,267,168827,62,0,0,3822,3153,3793,3916,861,635,354,1096,626,443
219,220,A50,Stabłowice,8,1790,63330,10,0,0,910,845,0,872,0,0,226,0,0,0
220,221,221,Chwiałkowska,277,1848,165519,71,0,0,2497,2251,3410,2324,1148,991,834,722,548,495
221,222,222,Wel-Tex,6998,1944,168878,28287,141,0,2874,2465,1278,2544,591,722,1115,461,78,408
222,223,A50,Marszowice,99,119,29678,445,0,0,586,554,756,571,269,287,84,165,60,130
223,224,A50,Gwizdanowska,30,30,4532,10,0,0,27,25,939,25,330,304,4,435,200,278
224,225,A50,Marszowice cmentarz,792,26,2556,0,0,0,15,15,0,15,0,0,1,0,0,0
225,226,A50,Marszowice Malownicze,7,7,57125,10,0,0,884,754,0,778,0,0,207,0,0,0
226,227,A50,Las Mokrzański,0,336,8576,8,0,0,196,186,95,192,17,113,20,121,0,95
227,228,228,Krępicka,1287,1961,153260,1346,857,0,3446,3129,1670,3230,730,295,575,426,817,330
228,229,229,Jeleniogórska,434,2222,141546,802,0,0,2434,2300,548,2374,348,191,597,182,243,78
229,230,A31,Leśnica,5086,13810,71393,6768,0,0,1382,1299,1278,1341,461,530,792,435,452,374
230,231,A32,Wielkopolska,7104,2949,28724,13,0,0,632,595,0,614,0,0,147,0,0,0
231,232,A31,Skoczylasa/Rubczaka,61,1192,71327,114,0,0,1472,1384,652,1428,313,113,319,182,252,113
232,233,A50,Wojska Polskiego,0,0,2724,1306,0,0,45,43,0,44,0,0,3,0,0,0
233,234,234,Pustki,0,312,68189,133,0,0,1504,1417,1548,1598,835,756,648,530,426,504
234,235,A50,Mokrzańska,421,784,30376,42,0,0,772,726,0,749,0,0,116,0,0,0
