,travel_id,lat,long,time,mean_of_transport
42,2f35890b-970a-40a1-98db-7d4f09be383c,16.9619089,51.1294313,2019-10-25 05:45:00,Pieszo
43,2f35890b-970a-40a1-98db-7d4f09be383c,16.97819633051261,51.1263106,2019-10-25 05:53:00,Pieszo
44,2db41237-4b3e-4774-a6e0-dc91e7eb6a33,16.9671483,51.1231121,2019-10-26 07:50:00,Samochód osobowy jako kierowca
45,2db41237-4b3e-4774-a6e0-dc91e7eb6a33,17.0169575,51.1150494,2019-10-26 08:00:00,Samochód osobowy jako kierowca
46,4f532475-a849-4445-94e5-f770535e041a,16.9630089,51.1267842,2019-10-25 05:05:00,Samochód osobowy jako kierowca
47,4f532475-a849-4445-94e5-f770535e041a,17.0367698,51.1058044,2019-10-25 05:30:00,Samochód osobowy jako kierowca
48,11857388-dfb6-428c-8afb-15993a28307a,16.9653183,51.1293332,2019-10-18 04:40:00,Komunikacja autobusowa
49,11857388-dfb6-428c-8afb-15993a28307a,17.0463424,51.0728006,2019-10-18 05:25:00,Komunikacja autobusowa
50,85714321-8e80-41cf-aa79-0df01ee72401,16.9653183,51.1293332,2019-10-24 05:56:00,Tramwaj
51,85714321-8e80-41cf-aa79-0df01ee72401,17.06064400752848,51.111753199999995,2019-10-24 06:21:00,Tramwaj
52,3862fd33-fe73-4b89-9ab8-97ac5ed62c05,16.9606268,51.1289528,2019-10-21 05:30:00,Tramwaj
53,3862fd33-fe73-4b89-9ab8-97ac5ed62c05,17.06064400752848,51.111753199999995,2019-10-21 06:10:00,Tramwaj
54,b43c67c8-7d79-4dc9-9dd3-cdc4cc40ae90,16.9584566,51.1262979,2019-10-24 04:30:00,Samochód osobowy jako kierowca
55,b43c67c8-7d79-4dc9-9dd3-cdc4cc40ae90,17.0327143,51.126787,2019-10-24 05:00:00,Samochód osobowy jako kierowca
56,66c64333-e5e0-4fbf-ab0f-4fbe5ff302e2,16.9671483,51.1231121,2019-10-24 05:20:00,Komunikacja autobusowa
57,66c64333-e5e0-4fbf-ab0f-4fbe5ff302e2,17.0300909,51.14775,2019-10-24 06:15:00,Komunikacja autobusowa
58,2fc251b2-37a3-46e7-9303-b8e64c37cb23,16.9597447,51.1117289,2019-10-25 05:35:00,Komunikacja autobusowa
59,2fc251b2-37a3-46e7-9303-b8e64c37cb23,17.0077843,51.1125891,2019-10-25 06:10:00,Komunikacja autobusowa
60,54f3e1aa-5179-4254-a4a0-d1fa19fee989,16.9645171,51.1275413,2019-10-24 04:25:00,Pociąg
61,54f3e1aa-5179-4254-a4a0-d1fa19fee989,17.0374312,51.0961136,2019-10-24 04:35:00,Pociąg
62,487faba4-753a-487d-8ba8-d723e0e12ce7,16.9607794,51.1306517,2019-10-23 09:10:00,Samochód osobowy jako kierowca
63,487faba4-753a-487d-8ba8-d723e0e12ce7,17.0418348,51.1097759,2019-10-23 09:35:00,Samochód osobowy jako kierowca
64,ecbd9cd7-0bb4-412e-8da4-cecd75499fba,16.9658552,51.1298114,2019-10-24 04:50:00,Tramwaj
65,ecbd9cd7-0bb4-412e-8da4-cecd75499fba,17.0235635,51.0840633,2019-10-24 05:25:00,Tramwaj
66,09e3a905-7b56-4771-9225-685daf4a685b,16.9653183,51.1293332,2019-10-25 04:20:00,Samochód osobowy jako kierowca
67,09e3a905-7b56-4771-9225-685daf4a685b,17.0318068,51.139648,2019-10-25 05:00:00,Samochód osobowy jako kierowca
68,420edc2d-2224-4eaa-8966-bac71a0c0b0d,16.9556396,51.1257263,2019-10-25 05:40:00,Komunikacja autobusowa
69,420edc2d-2224-4eaa-8966-bac71a0c0b0d,16.9812916,51.1219769,2019-10-25 05:55:00,Komunikacja autobusowa
70,bce7ec3e-802f-4b4e-bacc-bad4ef506594,16.9584566,51.1262979,2019-10-24 05:00:00,Samochód osobowy jako kierowca
71,bce7ec3e-802f-4b4e-bacc-bad4ef506594,17.0366707,51.1199744,2019-10-24 05:25:00,Samochód osobowy jako kierowca
72,425c0fa6-7568-4ff2-a7ec-6ce4e956f941,16.9612924,51.1245834,2019-10-24 04:30:00,Samochód osobowy jako kierowca
73,425c0fa6-7568-4ff2-a7ec-6ce4e956f941,16.9922444,51.1104422,2019-10-24 04:40:00,Samochód osobowy jako kierowca
74,f69c7fc4-33c9-49ae-b802-2e39c07dbb75,16.9653183,51.1293332,2019-10-24 06:00:00,Samochód osobowy jako kierowca
75,f69c7fc4-33c9-49ae-b802-2e39c07dbb75,17.06064400752848,51.111753199999995,2019-10-24 06:40:00,Samochód osobowy jako kierowca
76,0f1c74ad-15c0-4e72-9e2a-dda8b3f6af40,16.9879265,51.1232929,2019-10-24 05:00:00,Samochód osobowy jako kierowca
77,0f1c74ad-15c0-4e72-9e2a-dda8b3f6af40,16.9891643,51.1270671,2019-10-24 05:20:00,Samochód osobowy jako kierowca
78,4af4b2e4-9d06-4cd2-aa52-d13fbf7dd7bd,17.0708818,51.142604,2019-10-24 13:26:00,Komunikacja autobusowa
79,4af4b2e4-9d06-4cd2-aa52-d13fbf7dd7bd,16.9812916,51.1219769,2019-10-24 14:16:00,Komunikacja autobusowa
80,340206ee-4b72-41d2-b790-7d63bbceaf63,16.9556396,51.1257263,2019-10-24 03:27:00,Komunikacja autobusowa
81,340206ee-4b72-41d2-b790-7d63bbceaf63,16.9547928,51.1185583,2019-10-24 03:37:00,Komunikacja autobusowa
82,bd3fe683-6e5f-4164-bce4-b5d8bd61c4d3,16.9630089,51.1267842,2019-10-24 04:00:00,Samochód osobowy jako pasażer
83,bd3fe683-6e5f-4164-bce4-b5d8bd61c4d3,16.9722551,51.113976,2019-10-24 04:10:00,Samochód osobowy jako pasażer
84,bcf70ef0-e485-41c7-9387-16a8085a22ac,16.9658552,51.1298114,2019-10-27 13:10:00,Tramwaj
85,bcf70ef0-e485-41c7-9387-16a8085a22ac,16.9942596,51.1213583,2019-10-27 13:25:00,Tramwaj
