preferences_centrum_entrance_billed,preferences_centrum_entrance_for_eco_vehicles,prefences_pt_transit_priority,prefences_prefered_travel_mode,prefences_pt_comfort,prefences_pt_cleanliness,prefences_pt_punctuality,prefences_bicyle_infrastructure_improvemets,prefences_walk_wrong_intersection_lights,prefences_walk_no_sidewalk,prefences_walk_bad_surface,prefences_walk_blocked_sidewalks,prefences_walk_car_danger,preferences_walk_bike_danger,preferences_walk_tall_curbs,preferences_walk_no_cleaning_snow_removal,preferences_walk_insufficient_number_pedestrain_crossing,preferences_walk_no_resting_place,preferences_walk_heavy_traffic,preferences_walk_insufficient_lighting,preferences_walk_no_inconvenience,house_total_person_number,house_over_6_person_number,house_owned_car_number,house_lent_car_number,house_company_car_number,house_bicycle_number,respondent_age,respondent_sex,respondent_primary_job,respondent_physical_condition,respondent_provides_care,respondent_has_driving_license,respondent_has_season_ticket,respondent_has_pt_discount,total_travel_time,part_of_day,travel_mode,travel_distance
2,2,4,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.0,0.0,0.0,1.0,5,0,0,0,0,1,0,1.0,30,2,0,8950.315847625832
2,2,4,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.0,0.0,0.0,1.0,5,0,0,0,0,1,0,1.0,30,3,0,8950.315847625832
2,2,2,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.0,0.0,0.0,1.0,5,1,0,0,0,0,0,1.0,30,2,0,6852.5817668157715
2,2,2,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.0,0.0,0.0,1.0,5,1,0,0,0,0,0,1.0,30,3,0,5416.555335693067
4,4,4,4,3,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,1,0,1,0,0,0,1.0,10,2,2,5416.555335693067
4,4,4,4,3,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,1,0,1,0,0,0,1.0,15,2,2,6852.5817668157715
2,3,4,4,4,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,1.0,50,2,1,6852.5817668157715
2,3,4,4,4,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,1.0,30,3,1,6852.5817668157715
2,2,4,4,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,0,0,1,0,1,0,1.0,300,3,0,6852.5817668157715
2,2,4,4,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,5,0,0,1,0,1,0,1.0,40,4,1,0.0
4,0,4,4,3,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3.0,3.0,1.0,0.0,0.0,3.0,4,0,2,1,0,1,0,1.0,50,2,3,0.0
4,0,4,4,3,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3.0,3.0,1.0,0.0,0.0,3.0,4,0,2,1,0,1,0,1.0,45,2,3,4021.1618571116246
2,3,4,0,3,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,2,1,0,0,0,1.0,5,0,2,4021.1618571116246
2,2,4,4,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,3,0,2,1,1,1,1,0.0,30,1,1,2559.552275452079
2,2,4,4,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,3,0,2,1,1,1,1,0.0,30,3,1,4008.691805548594
1,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,0.0,0.0,0.0,3,1,3,1,1,1,1,0.0,30,1,2,4008.691805548594
1,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,0.0,0.0,0.0,3,1,3,1,1,1,1,0.0,10,2,2,806.168311811087
1,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,0.0,0.0,0.0,3,1,3,1,1,1,1,0.0,10,2,2,806.168311811087
1,3,4,0,1,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,5.0,0.0,0.0,0.0,2.0,4,1,2,1,0,0,1,0.0,25,1,1,3284.4560556802207
1,3,4,0,1,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,5.0,0.0,0.0,0.0,2.0,4,1,2,1,0,0,1,0.0,25,4,1,3284.4560556802207
2,4,4,1,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,5.0,0.0,0.0,0.0,2.0,4,0,2,0,0,1,1,0.0,35,1,1,483.6032596556176
2,4,4,1,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,5.0,0.0,0.0,0.0,2.0,4,0,2,0,0,1,1,0.0,20,3,1,483.6032596556176
2,4,4,0,2,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,5.0,5.0,0.0,0.0,0.0,2.0,3,0,4,1,0,1,1,0.5,20,3,3,0.0
2,4,4,0,2,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,5.0,5.0,0.0,0.0,0.0,2.0,3,0,4,1,0,1,1,0.5,20,4,3,1865.7802567836936
2,4,4,0,2,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,5.0,5.0,0.0,0.0,0.0,2.0,3,0,4,1,0,1,1,0.5,30,2,0,1865.7802567836936
2,4,4,0,2,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,5.0,5.0,0.0,0.0,0.0,2.0,3,0,4,1,0,1,1,0.5,100,2,1,3839.8286977043267
3,4,4,0,2,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,3.0,4,1,3,0,0,0,0,0.0,30,2,0,3839.8286977043267
3,4,4,0,2,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,3.0,4,1,3,0,0,0,0,0.0,100,2,1,2593.9281837898793
2,4,3,0,3,3,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,3.0,2,1,4,0,0,0,0,0.5,30,3,3,2593.9281837898793
2,4,3,0,3,3,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,3.0,2,1,4,0,0,0,0,0.5,30,3,3,2340.973585833768
0,4,1,2,4,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,0.0,0.0,4.0,3,1,2,1,0,1,0,0.0,15,1,3,2340.973585833768
0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,2.0,0.0,0.0,1.0,4,0,2,1,0,1,0,0.0,30,1,0,2340.973585833768
0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,2.0,0.0,0.0,1.0,4,0,2,1,0,1,0,0.0,30,3,0,2340.973585833768
0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,2.0,0.0,0.0,1.0,3,1,2,1,0,1,0,0.0,25,1,0,4288.785116185605
0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,2.0,0.0,0.0,1.0,3,1,2,1,0,1,0,0.0,30,3,0,4288.785116185605
2,3,4,0,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,3.0,2.0,0.0,0.0,1.0,1,0,4,1,0,0,1,0.5,20,3,2,1917.91546354198
2,3,4,0,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,3.0,2.0,0.0,0.0,1.0,1,0,4,1,0,0,1,0.5,20,3,2,1917.91546354198
0,4,4,0,2,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,3.0,4,1,2,1,0,0,0,0.0,15,1,2,2615.379661313897
0,4,4,0,2,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,3.0,4,1,2,1,0,0,0,0.0,15,4,2,2615.379661313897
2,4,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,3.0,4,0,2,1,0,1,1,0.5,10,1,2,3207.2716171216816
2,4,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,3.0,4,0,2,1,0,1,1,0.5,10,1,2,3207.2716171216816
0,4,4,0,2,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,1.0,0.0,0.0,4.0,2,0,4,1,0,1,1,0.5,40,2,1,2979.477498521281
0,4,4,0,2,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,1.0,0.0,0.0,4.0,2,0,4,1,0,1,1,0.5,40,4,1,2979.477498521281
2,4,4,0,1,0,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,2.0,1.0,0.0,0.0,4.0,1,1,4,1,0,0,0,0.5,10,1,2,564.5368209391265
2,4,4,0,1,0,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,2.0,1.0,0.0,0.0,4.0,1,1,4,1,0,0,0,0.5,10,3,2,564.5368209391265
0,3,4,3,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,1.0,3,0,2,1,0,1,0,0.0,20,1,3,784.9597032868547
0,3,4,3,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,1.0,3,0,2,1,0,1,0,0.0,20,4,3,784.9597032868547
