age_sex_comb,source-destination,count
20-24_M,"dom-uczelnia, dom-uczelnia, dom-uczelnia, uczelnia-dom, uczelnia-dom, uczelnia-dom",1
20-24_M,"dom-uczelnia, uczelnia-dom, dom-inne, inne-inne, inne-dom",1
20-24_M,"dom-uczelnia, uczelnia-inne, inne-inne, inne-dom, dom-inne, inne-dom",1
20-24_M,"dom-uczelnia, uczelnia-praca, praca-dom",1
20-24_M,"dom-uczelnia, uczelnia-uczelnia, uczelnia-dom",1
20-24_M,"inne-inne, dom-inne, inne-praca",1
20-24_M,"inne-inne, inne-inne",1
20-24_M,"inne-inne, inne-inne, inne-inne, inne-inne, inne-inne",1
20-24_M,"inne-uczelnia, inne-inne, uczelnia-inne, inne-inne",1
20-24_M,"praca-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom",488
25-44_K,"dom-inne, inne-dom",228
25-44_K,"dom-praca, praca-inne, inne-dom",44
25-44_K,"dom-praca, praca-dom, dom-inne, inne-dom",26
25-44_K,"dom-uczelnia, uczelnia-dom",19
25-44_K,"dom-szkola, szkola-dom",15
25-44_K,"dom-inne, inne-dom, dom-inne, inne-dom",13
25-44_K,dom-praca,9
25-44_K,inne-dom,9
25-44_K,"dom-inne, inne-inne, inne-dom",7
25-44_K,"dom-inne, inne-praca, praca-dom",7
25-44_K,"dom-szkola, szkola-dom, dom-szkola, szkola-dom",7
25-44_K,"dom-szkola, szkola-praca, praca-dom",7
25-44_K,dom-inne,5
25-44_K,"dom-szkola, szkola-praca, praca-szkola, szkola-dom",5
25-44_K,"dom-praca, praca-inne, inne-inne, inne-dom",4
25-44_K,"dom-szkola, szkola-inne, inne-dom, dom-szkola, szkola-dom",4
25-44_K,"dom-uczelnia, uczelnia-inne, inne-dom",4
25-44_K,"dom-inne, inne-dom, dom-praca, praca-dom",3
25-44_K,"dom-inne, inne-praca, praca-inne, inne-dom",3
25-44_K,"dom-praca, praca-praca, praca-dom",3
25-44_K,"dom-praca, praca-szkola, szkola-dom",3
25-44_K,"praca-praca, praca-dom",3
25-44_K,dom-dom,2
25-44_K,"dom-inne, inne-dom, dom-inne, inne-dom, dom-inne, inne-dom",2
25-44_K,"dom-inne, inne-inne, inne-praca, praca-inne, inne-inne, inne-dom",2
25-44_K,"dom-praca, dom-praca, praca-dom, praca-dom",2
25-44_K,"dom-praca, praca-dom, dom-szkola, szkola-dom",2
25-44_K,"dom-praca, praca-inne",2
25-44_K,"dom-praca, praca-praca",2
25-44_K,"dom-szkola, szkola-inne, inne-dom",2
25-44_K,"dom-szkola, szkola-praca, praca-inne, inne-dom",2
25-44_K,"dom-szkola, szkola-praca, praca-szkola, szkola-dom, dom-inne, inne-dom",2
25-44_K,"inne-inne, inne-dom",2
25-44_K,"dom-dom, dom-inne",1
25-44_K,"dom-inne, dom-inne, inne-dom, inne-dom",1
25-44_K,"dom-inne, inne-dom, dom-inne",1
25-44_K,"dom-inne, inne-dom, dom-inne, inne-praca, praca-inne, inne-dom",1
25-44_K,"dom-inne, inne-dom, dom-praca",1
25-44_K,"dom-inne, inne-dom, dom-szkola, szkola-dom",1
25-44_K,"dom-inne, inne-inne",1
25-44_K,"dom-inne, inne-inne, inne-dom, dom-inne, inne-dom",1
25-44_K,"dom-inne, inne-inne, inne-inne, inne-dom",1
25-44_K,"dom-inne, inne-inne, inne-inne, inne-inne",1
25-44_K,"dom-inne, inne-inne, inne-praca, praca-dom",1
25-44_K,"dom-inne, inne-praca, praca-inne",1
25-44_K,"dom-inne, inne-szkola",1
25-44_K,"dom-praca, dom-inne, inne-dom, praca-dom",1
25-44_K,"dom-praca, praca-dom, dom-inne",1
25-44_K,"dom-praca, praca-dom, dom-inne, inne-inne, inne-dom",1
25-44_K,"dom-praca, praca-dom, dom-praca, praca-dom",1
25-44_K,"dom-szkola, szkola-dom, dom-inne, inne-dom, dom-praca, praca-szkola, szkola-dom",1
25-44_K,"dom-szkola, szkola-dom, dom-inne, inne-dom, dom-szkola, szkola-dom",1
25-44_K,"dom-szkola, szkola-dom, dom-inne, inne-szkola, szkola-dom",1
25-44_K,"dom-szkola, szkola-dom, dom-praca, praca-dom",1
25-44_K,"dom-szkola, szkola-praca",1
25-44_K,"dom-szkola, szkola-praca, praca-szkola, szkola-dom, dom-praca, praca-dom",1
25-44_K,"dom-uczelnia, uczelnia-inne, inne-inne, inne-inne, inne-dom",1
25-44_K,"inne-dom, dom-inne",1
25-44_K,inne-inne,1
25-44_K,"inne-inne, inne-inne, inne-inne",1
25-44_K,praca-dom,1
25-44_K,"praca-dom, dom-praca, praca-dom",1
25-44_K,"szkola-szkola, szkola-praca, praca-szkola, szkola-dom",1
25-44_K,"uczelnia-praca, praca-dom",1
25-44_M,"dom-praca, praca-dom",576
25-44_M,"dom-inne, inne-dom",145
25-44_M,"dom-praca, praca-inne, inne-dom",44
25-44_M,"dom-uczelnia, uczelnia-dom",25
25-44_M,"dom-praca, praca-dom, dom-inne, inne-dom",23
25-44_M,dom-praca,14
25-44_M,"dom-inne, inne-inne, inne-dom",6
25-44_M,"praca-praca, praca-dom",6
25-44_M,"dom-praca, praca-praca, praca-dom",5
25-44_M,"dom-szkola, szkola-praca, praca-dom",5
25-44_M,praca-dom,5
25-44_M,dom-inne,3
25-44_M,"dom-inne, inne-inne, inne-inne, inne-dom",3
25-44_M,"dom-inne, inne-praca, praca-dom",3
25-44_M,"dom-praca, praca-inne, inne-inne, inne-dom",3
25-44_M,"dom-szkola, szkola-dom",3
25-44_M,"dom-szkola, szkola-praca, praca-inne, inne-dom",3
25-44_M,inne-dom,3
25-44_M,"dom-inne, dom-inne, inne-dom, inne-dom",2
25-44_M,"dom-inne, inne-dom, dom-praca, praca-dom",2
25-44_M,"dom-praca, dom-inne, inne-dom, praca-dom",2
25-44_M,"dom-praca, dom-praca, praca-dom, praca-dom",2
25-44_M,"dom-praca, praca-dom, dom-inne",2
25-44_M,"dom-praca, praca-dom, dom-praca, praca-dom",2
25-44_M,"dom-praca, praca-inne",2
25-44_M,"dom-inne, inne-dom, dom-inne, inne-dom",1
25-44_M,"dom-inne, inne-dom, dom-inne, inne-praca, praca-dom",1
25-44_M,"dom-inne, inne-inne, inne-dom, dom-inne, inne-dom",1
25-44_M,"dom-inne, inne-inne, inne-praca, praca-inne, inne-inne, inne-dom",1
25-44_M,"dom-inne, inne-praca, praca-inne, inne-dom",1
25-44_M,"dom-praca, dom-praca, dom-praca, dom-praca, praca-dom, praca-dom, praca-dom, praca-dom",1
25-44_M,"dom-praca, dom-praca, praca-dom",1
25-44_M,"dom-praca, dom-praca, praca-inne, praca-dom, inne-dom",1
25-44_M,"dom-praca, inne-inne, inne-dom",1
25-44_M,"dom-praca, praca-dom, dom-dom",1
25-44_M,"dom-praca, praca-inne, inne-dom, dom-inne, inne-dom",1
25-44_M,"dom-praca, praca-inne, inne-dom, dom-praca, praca-dom",1
25-44_M,"dom-praca, praca-inne, inne-praca, praca-dom, dom-inne, inne-dom",1
25-44_M,"dom-praca, praca-praca",1
25-44_M,"dom-praca, praca-praca, praca-praca, praca-dom",1
25-44_M,"dom-praca, praca-szkola, szkola-dom, dom-inne, inne-dom",1
25-44_M,"dom-szkola, szkola-dom, dom-szkola, szkola-dom, dom-praca",1
25-44_M,"dom-szkola, szkola-inne, inne-inne, inne-dom, dom-szkola, szkola-dom",1
25-44_M,"dom-szkola, szkola-inne, inne-inne, inne-inne, inne-dom",1
25-44_M,"dom-szkola, szkola-praca, praca-szkola, szkola-dom",1
25-44_M,"dom-szkola, szkola-praca, praca-szkola, szkola-dom, dom-inne, inne-dom",1
